,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
180,rooms,90,guy,36.0,machine,5.0,ride,26.0,money,4.0,types,1.0,worked,17.0
181,bad,89,asked,36.0,expensive,5.0,..,25.0,total,4.0,levels,1.0,issues,17.0
182,lake,89,session,36.0,facilities,5.0,strong,25.0,join,4.0,cody,1.0,set,17.0
183,close,89,incredible,35.0,everyday,5.0,quality,25.0,door,4.0,built,1.0,coaching,17.0
184,signed,89,music,35.0,plates,5.0,machine,25.0,joined,4.0,supports,1.0,athlete,17.0
185,la,89,family,35.0,brand,5.0,business,25.0,lamar,4.0,camp,1.0,helped,16.0
186,owner,88,safe,35.0,leave,5.0,signed,25.0,intimidated,4.0,moved,1.0,feeling,16.0
187,session,88,weeks,35.0,train,5.0,la,25.0,sweat,4.0,tucked,1.0,hot,16.0
188,squat,88,set,35.0,christian,5.0,ymca,25.0,pushed,4.0,centre,1.0,guy,16.0
189,showers,88,showers,35.0,minutes,5.0,meet,24.0,heated,4.0,walking,1.0,morning,16.0
190,loved,87,wanted,35.0,convenient,5.0,change,24.0,swimming,4.0,lucky,1.0,point,16.0
191,long,87,signed,35.0,courts,5.0,stay,24.0,emails,4.0,strike,1.0,supportive,16.0
192,helped,86,management,35.0,owner,5.0,walk,24.0,website,4.0,spotless,1.0,ot,16.0
193,..,86,thought,35.0,crossfit,5.0,challenge,24.0,pure,4.0,warm,1.0,huge,16.0
194,comfortable,86,join,34.0,athlete,5.0,wait,24.0,hour,4.0,helpful,1.0,vibe,16.0
195,club,86,called,34.0,couple,5.0,'ll,24.0,offer,4.0,sara,1.0,quality,16.0
196,10,85,positive,34.0,selection,5.0,christian,24.0,machine,4.0,enouen,1.0,crossfit,16.0
197,ymca,85,meet,34.0,layout,5.0,disappointed,23.0,greet,4.0,exceptional,1.0,downtown,16.0
198,convenient,84,problem,34.0,pure,5.0,journey,23.0,price,4.0,nyc,1.0,lifting,15.0
199,maintained,82,favorite,34.0,faster,5.0,physical,23.0,number,4.0,los,1.0,professional,15.0
200,feeling,79,swimming,34.0,excellent,5.0,money,23.0,progress,4.0,angeles,1.0,review,15.0
201,walk,79,guys,33.0,changed,5.0,sweat,23.0,company,4.0,strongest,1.0,dirty,15.0
202,pass,79,packed,33.0,notch,5.0,owner,23.0,young,4.0,deeper,1.0,wonderful,15.0
203,set,79,floor,33.0,worked,5.0,fee,23.0,asked,4.0,injuries,1.0,lots,15.0
204,starting,79,review,33.0,programming,5.0,price,23.0,customers,4.0,3-4,1.0,heavy,15.0
205,start,78,real,33.0,stronger,5.0,crowded,23.0,quiet,4.0,bootcamps,1.0,walk,15.0
206,called,78,helped,33.0,signed,5.0,hour,23.0,long,4.0,studios/gyms,1.0,high,15.0
207,account,78,visiting,33.0,enjoyed,4.0,told,23.0,'ll,4.0,barry,1.0,start,15.0
208,options,78,exercises,32.0,movements,4.0,ao,23.0,close,4.0,orange,1.0,stronger,15.0
209,bit,78,enjoy,32.0,joining,4.0,left,22.0,feels,4.0,theory,1.0,paying,15.0
210,phone,77,supportive,32.0,routine,4.0,enjoyed,22.0,christian,4.0,rumble,1.0,asked,15.0
