,neg,neu,pos,compound,place_id
190,0.0,0.753,0.247,0.9607,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
191,0.04,0.741,0.219,0.8669,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
192,0.0,0.762,0.238,0.8974,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
193,0.0,1.0,0.0,0.0,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
194,0.086,0.753,0.161,0.3818,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
195,0.0,0.596,0.404,0.8968,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
196,0.0,0.694,0.306,0.9806,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
197,0.106,0.697,0.197,0.87,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
198,0.051,0.786,0.163,0.743,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
199,0.0,0.692,0.308,0.8847,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
200,0.0,0.773,0.227,0.6249,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
201,0.0,0.626,0.374,0.9686,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
202,0.042,0.799,0.16,0.8559,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
203,0.0,0.627,0.373,0.8976,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
204,0.0,0.818,0.182,0.8569,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
205,0.306,0.639,0.055,-0.9264,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
206,0.12,0.88,0.0,-0.4003,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
207,0.0,0.639,0.361,0.9596,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
208,0.134,0.822,0.044,-0.898,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
209,0.039,0.961,0.0,-0.3164,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
210,0.076,0.741,0.183,0.9643,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
211,0.0,0.694,0.306,0.8908,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
212,0.138,0.796,0.066,-0.8803,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
213,0.162,0.693,0.146,0.4003,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
214,0.04,0.91,0.05,0.1406,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
215,0.169,0.804,0.028,-0.9153,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
216,0.095,0.887,0.018,-0.6124,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
217,0.142,0.804,0.054,-0.7207,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
218,0.073,0.731,0.196,0.5719,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
