weekday,Total Business Hour,place_id
"['Monday: 6:00\u2009\u20099:00\u202fAM, 3:00\u2009\u20098:00\u202fPM', 'Tuesday: 6:00\u2009\u20099:00\u202fAM, 3:00\u2009\u20098:00\u202fPM', 'Wednesday: 6:00\u2009\u20099:00\u202fAM, 3:00\u2009\u20098:00\u202fPM', 'Thursday: 6:00\u2009\u20099:00\u202fAM, 3:00\u2009\u20098:00\u202fPM', 'Friday: 6:00\u2009\u20099:00\u202fAM, 3:00\u2009\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009\u20093:00\u202fPM', 'Sunday: Closed']",45.0,ChIJEb-SbMu1RIYRgHGXE3ghZD8
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009\u200911:00\u202fPM']",126.0,ChIJ0_Z0a362RIYRCufFMGu6hI4
"['Monday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20097:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u200912:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u200912:00\u202fPM']",96.0,ChIJg7z_xN4sDogR9Pj1oXPFgyg
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u200910:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u200910:00\u202fPM']",120.0,ChIJLQk80NJJW4YRY6sIM8peSrw
"['Monday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20094:00\u202fPM', 'Sunday: Closed']",80.5,ChIJadpAaPi1RIYRP0B2GlO_2Hw
"['Monday: 8:00\u202fAM\u2009\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",45.0,ChIJ0W3ROJq1RIYRjqR1CQfApLg
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",168.0,ChIJpbe-QD_NRIYRVMeYPlDz18g
"['Monday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20098:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009\u20098:00\u202fPM']",84.0,ChIJEerWlOS3RIYRTy3Dw-NkM5k
"['Monday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009\u20097:00\u202fPM', 'Sunday: 12:00\u2009\u20096:00\u202fPM']",93.5,ChIJ_dZIWhG1RIYROzIz44xxA1g
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20099:00\u202fPM']",118.0,ChIJvQwzuAm1RIYRmzCY53POdFE
"['Monday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Wednesday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 5:30\u202fAM\u2009\u20096:30\u202fPM', 'Friday: 5:30\u202fAM\u2009\u20096:30\u202fPM', 'Saturday: 5:30\u202fAM\u2009\u20097:30\u202fPM', 'Sunday: 5:30\u202fAM\u2009\u20097:30\u202fPM']",96.0,ChIJlzkXFtK1RIYRPejmP7HzlIU
"['Monday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20099:00\u202fPM']",118.0,ChIJMYbJvpDLRIYRFe-MbOlJGxs
"['Monday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009\u20098:00\u202fPM', 'Sunday: 12:00\u2009\u20098:00\u202fPM']",97.0,ChIJ061fnrdLW4YRqOo8uj88Je4
"['Monday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Friday: 5:00\u202fAM\u2009\u20098:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009\u20092:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009\u20092:00\u202fPM']",88.0,ChIJz7WqZx-1RIYRFHnL5ouwkB0
"['Monday: 5:15\u202fAM\u2009\u20097:30\u202fPM', 'Tuesday: 5:15\u202fAM\u2009\u20097:30\u202fPM', 'Wednesday: 5:15\u202fAM\u2009\u20097:30\u202fPM', 'Thursday: 5:15\u202fAM\u2009\u20097:30\u202fPM', 'Friday: 5:15\u202fAM\u2009\u20097:30\u202fPM', 'Saturday: 8:30\u2009\u200911:30\u202fAM', 'Sunday: Closed']",74.25,ChIJ3xftpaDKRIYRMeDSPTy7Tso
"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: 12:00\u202fAM\u2009\u200910:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009\u20099:00\u202fPM']",134.0,ChIJzZIYof3NRIYRfXtBPLhXYgg
